user_id,name,date_of_birth,email,gender,category,registration_date,country,last_login_date,user_type
334053,Allison Hill,16-07-1973,garzaanthony@robinson.org,male,student,28-04-2021,US,28-12-2024,student
201414,George Davis,24-11-1992,lindsay78@gmail.com,male,retired,09-11-2020,India,05-01-2025,student
488162,Mark Diaz,21-03-1988,jacqueline19@jackson.biz,female,student,22-10-2021,India,11-01-2025,student
377746,Thomas Ellis,18-01-1963,julie69@cox-osborn.com,male,retired,20-02-2022,UK,13-01-2025,student
814825,Alexandra Le,10-05-1980,cartereric@gmail.com,male,student,02-01-2020,US,16-01-2025,student
972064,Alec Hickman,20-12-1984,allenashley@miller.com,male,homemaker,06-03-2023,US,08-01-2025,student
167136,Jesse Wright,19-01-1987,briannasmith@welch.com,male,homemaker,14-08-2021,India,22-12-2024,student
589710,Jeffrey Henderson,01-06-1951,powellmatthew@wright.net,male,retired,16-10-2020,China,29-12-2024,student
520521,John Lewis,09-01-1952,ysmith@house-glover.com,female,homemaker,19-12-2024,India,10-01-2025,student
632496,Sarah Moore,12-12-1954,larsonemma@powell.com,male,student,10-02-2021,US,01-01-2025,student
109767,Timothy Walls,01-06-2006,medinawilliam@mahoney.com,female,working,24-12-2020,UK,23-12-2024,student
320861,Christopher Campbell,16-09-1990,william40@walters.com,male,homemaker,21-04-2020,India,04-01-2025,student
423232,Charles Anderson,02-09-1993,jason31@deleon-henson.biz,female,student,30-04-2020,India,09-01-2025,student
420015,Robert Stevens,13-07-1979,kellerraymond@lin-rasmussen.com,male,homemaker,12-09-2023,US,03-01-2025,student
636265,Emily Obrien,13-10-1959,jonathanfletcher@gmail.com,male,homemaker,07-07-2022,China,13-01-2025,student
810219,Jason Bentley,23-09-1967,akelley@yahoo.com,male,working,31-05-2022,China,12-01-2025,student
887625,Lisa Davis,10-01-1980,lindsayhernandez@gmail.com,male,homemaker,27-11-2020,China,07-01-2025,student
587115,Robert Dominguez,17-11-1950,bryantlaurie@schmidt.info,female,student,28-08-2020,India,31-12-2024,student
184491,George Orozco,17-06-1973,patrickhernandez@brown.com,male,retired,26-04-2023,India,07-01-2025,student
331251,Morgan Marsh,08-04-1997,ryan06@caldwell-yates.com,male,student,05-06-2020,China,30-12-2024,student
898207,Daniel Murphy,04-11-1989,fking@yahoo.com,male,working,27-01-2021,US,09-01-2025,student
833442,Justin Robinson,01-12-1978,catherinestuart@hotmail.com,male,retired,12-11-2020,India,01-01-2025,student
693423,Lindsay Martinez,02-11-1966,estanley@hotmail.com,female,working,30-07-2024,India,10-01-2025,student
437960,Roger Vargas,30-09-1980,nicole37@bishop.com,female,homemaker,19-01-2022,US,06-01-2025,student
614663,Peter Vaughn DDS,17-07-1994,phillipsrichard@torres.com,male,student,21-08-2021,UK,02-01-2025,student
294143,Joshua Gill,10-02-1970,lhill@carlson.com,female,homemaker,14-11-2020,US,18-12-2024,student
293319,Julie Alexander,13-01-1951,ewilson@yahoo.com,male,working,02-12-2021,China,12-01-2025,student
717113,Terry Evans,23-03-1993,lynchjody@gmail.com,female,student,23-06-2022,China,19-12-2024,student
576086,Michelle Warner,20-11-1968,kristin93@wilson-walker.com,female,working,25-04-2022,India,11-01-2025,student
553014,Jessica George,23-12-1985,davissuzanne@hotmail.com,male,homemaker,31-12-2023,US,03-01-2025,student
268637,Frank Garcia,05-12-1988,zroberts@hotmail.com,male,working,05-08-2021,China,12-01-2025,student
896907,Peter Garrett,22-07-1967,andrea47@washington.com,female,working,30-04-2024,India,31-12-2024,student
578975,John Kennedy,22-07-2001,mlee@francis.biz,male,retired,29-10-2022,China,13-01-2025,student
297816,Jamie Cantu,17-04-1980,melissajenkins@yahoo.com,male,retired,20-11-2023,China,18-12-2024,student
261859,Jennifer Pena,24-03-1954,matthew61@yahoo.com,female,student,10-10-2023,China,26-12-2024,student
934816,Stephanie Williams,11-11-1967,nicholas23@hotmail.com,female,homemaker,03-12-2023,UK,30-12-2024,student
587853,Michael Nolan,14-08-1983,alexandermichael@evans.info,male,student,02-05-2022,US,18-12-2024,student
